"","ENSEMBL","SYMBOL","Cov1","Cov2","Cov3","Mock1","Mock2","Mock3"
"4828","ENSG00000118997","14_DNAH7",32,24,29,155,80,135
"4829","ENSG00000119004","16_CYP20A1",326,294,288,911,1246,1051
"4830","ENSG00000119013","9_NDUFB3",872,858,778,5706,16309,4917
"4831","ENSG00000119041","11_GTF3C3",740,904,637,2349,891,2629
"4832","ENSG00000119042","17_SATB2",29,61,65,68,61,43
"4833","ENSG00000119048","8_UBE2B",973,966,920,2740,6723,2367
"4834","ENSG00000119121","22_TRPM6",29,31,8,41,10,31
"4835","ENSG00000119125","16_GDA",9,26,8,38,23,28
"4836","ENSG00000119138","4_KLF9",246,238,107,118,123,98
"4837","ENSG00000119139","20_TJP2",1399,1123,1367,4049,661,3799
"4838","ENSG00000119147","10_ECRG4",14,40,22,115,231,73
"4839","ENSG00000119185","12_ITGB1BP1",1922,1628,1648,5141,9521,5270
"4840","ENSG00000119203","14_CPSF3",1185,1196,877,3564,2210,3775
"4841","ENSG00000119227","8_PIGZ",73,63,47,379,525,464
"4842","ENSG00000119231","11_SENP5",751,653,600,1049,1161,1262
"4843","ENSG00000119242","8_CCDC92",1939,1645,1602,4947,5267,5783
"4844","ENSG00000119280","17_C1orf198",13225,13088,8945,34699,17770,40679
"4845","ENSG00000119283","15_TRIM67",12,19,4,12,10,12
"4846","ENSG00000119285","11_HEATR1",1344,1111,917,3692,335,4314
"4847","ENSG00000119314","15_PTBP3",1756,1907,1175,1180,571,1352
"4848","ENSG00000119318","13_RAD23B",1894,1976,1863,7301,5587,7999
"4849","ENSG00000119321","9_FKBP15",842,900,796,2573,1113,3068
"4850","ENSG00000119326","15_CTNNAL1",4402,3948,3560,8953,9591,8698
"4851","ENSG00000119328","12_ABITRAM",324,269,315,958,1373,1144
"4852","ENSG00000119333","11_WDR34",488,517,545,3189,5558,3684
"4853","ENSG00000119335","16_SET",3717,3257,3220,10603,10887,10665
"4854","ENSG00000119383","19_PTPA",669,414,754,3094,4333,3260
"4855","ENSG00000119392","14_GLE1",482,361,309,1959,812,2537
"4856","ENSG00000119396","11_RAB14",2659,2700,2041,5061,3931,5194
"4857","ENSG00000119397","16_CNTRL",224,201,96,715,324,718
"4858","ENSG00000119401","10_TRIM32",948,1006,811,2479,1053,2895
"4859","ENSG00000119402","17_FBXW2",800,891,694,2905,2314,3270
"4860","ENSG00000119403","15_PHF19",206,199,179,412,770,473
"4861","ENSG00000119408","16_NEK6",3809,3423,2897,3410,2817,4729
"4862","ENSG00000119411","11_BSPRY",66,78,79,376,509,352
"4863","ENSG00000119414","11_PPP6C",2042,1490,1438,2797,2669,3168
"4864","ENSG00000119421","7_NDUFA8",933,911,852,5942,13243,5105
"4865","ENSG00000119431","9_HDHD3",293,370,209,1177,2198,982
"4866","ENSG00000119446","14_RBM18",975,975,714,3427,2573,3132
"4867","ENSG00000119457","8_SLC46A2",15,26,5,12,0,13
"4868","ENSG00000119471","15_HSDL2",822,881,509,3206,2476,3854
"4869","ENSG00000119487","17_MAPKAP1",2924,2858,2375,7281,4173,8429
"4870","ENSG00000119508","18_NR4A3",1152,1119,586,157,128,253
"4871","ENSG00000119509","13_INVS",414,394,366,817,149,970
"4872","ENSG00000119514","7_GALNT12",775,766,440,273,155,322
"4873","ENSG00000119522","16_DENND1A",444,328,427,636,670,831
"4874","ENSG00000119523","10_ALG2",1752,1775,1098,2433,3239,3206
"4875","ENSG00000119535","17_CSF3R",7,17,3,11,8,17
"4876","ENSG00000119537","18_KDSR",2069,1898,1570,1711,1842,2203
"4877","ENSG00000119541","10_VPS4B",927,998,811,1692,883,2145
