Acc	UGCluster	LLID
BC015395	Hs.100743	130940
BC017397	Hs.54680	148523
BC018453	Hs.14222	129531
BC017895	Hs.324521	81892
BC011680	Hs.461688	54758
BC069691	Hs.120573	83446
BC054885	Hs.285055	345499
BC020615	Hs.513265	81889; 3029
BC050419	Hs.528889	83450
AL834509	Hs.444240	160335
BC017409	Hs.546514	169200
BC062563	Hs.464166	79157
BC063798	Hs.506481	55681
BC013966	Hs.404323	54478
BC009648	Hs.213690	55100
BC040127	Hs.342307	55119
BC002336	Hs.437460	55135
AK001409	Hs.274356	55721
BC025748	Hs.518469	55171
BC000048	Hs.511069	55192
BC012558	Hs.288164	55209
BC031637	Hs.212774	55236
BC032919	Hs.231883	55239
BC015722	Hs.533139	55262
BC014516	Hs.477115	55347
AK021772	Hs.463549	79904
BC007331	Hs.500724	80019
BC031038	Hs.517597	79734
BC014545	Hs.522675	81887
BC000575	Hs.301904	81875
BC010738	Hs.71912	64788
BC067805	Hs.6236	64853
BC010101	Hs.10101	79594
BC002890	Hs.104938	65095
AK023158	Hs.413518	80067
BC015202	Hs.288382	80152
AK023286	Hs.534485	79857
BC022453	Hs.288945	80219
BC021997	Hs.102928	79759
BC021704	Hs.550535	79906
BC025250	Hs.135146	79828
BC014131	Hs.150458	84881
BC011054	Hs.103555	84923
BC015325	Hs.24088	54826
BC018302	Hs.515169	55621
BC011687	Hs.471205	54891
BC011698	Hs.462316	54902; 125150
BC013568	Hs.259605	55650
BC022542	Hs.223296	54965
BC012053	Hs.288959	80221
BC016062	Hs.272848	79990
BC012829	Hs.525084	79654
BC065534	Hs.323363	79065; 10058
BC018132	Hs.463148	79877
BC032406	Hs.49421	79819
BC063639	Hs.59425	79707
BC013760	Hs.85658	79724
BC053733	Hs.468349	79823
BC023595	Hs.502223	196294
BC022164	Hs.344151	2803; 152048; 6917
BC035374	Hs.190162	127428
BC036925	Hs.127403	283254
AK093019	Hs.528375	285736
AK093146	Hs.379785	256364
AK094073	Hs.519343	285672
AK096949	Hs.491856	286183
BC066899	Hs.479223	202018
BC017172	Hs.333579	51504
AF000560	Hs.397153	126208
BC024980	Hs.463079	162427
AK025697	Hs.518526	200933
BC008502	Hs.205952	201895
BC057833	Hs.502916	254359
BC035892	Hs.405514	284058
BC043386	Hs.68846	374920
AF131737	Hs.414952	51057
BC016348	Hs.250905	51234
BC035935	Hs.268122	51321
BC031558	Hs.485810	55924
BC013255	Hs.334684	112936
BC005094	Hs.347408	84283
BC006299	Hs.6479	84315
BC007849	Hs.388645	84987
BC067786	Hs.231029	94107
BC007310	Hs.515114	84330
BC011803	Hs.179735	333926
BC011584	Hs.413678	91603
BC014252	Hs.124010	115948
BC011785	Hs.134846	115939
BC019704	Hs.459507	123355; 7184
BC004169	Hs.503716	84259
BC030162	Hs.483537	202052
BC035511	Hs.514500	283991
BC017312	Hs.59384	84308
BC001191	Hs.95196	79050
BC001195	Hs.436068	79041
BC004355	Hs.9088	84265; 284615
BC018775	Hs.8705	257364
BC000014	Hs.483796	78991
BC037287	Hs.379972	153396
BC035515	Hs.425123	285600
BC033516	Hs.124512	161514
